コード,銘柄名,市場・商品区分,33業種区分,規模区分
9504,中国電力,東証1部,電気・ガス業,TOPIX Mid400
9505,北陸電力,東証1部,電気・ガス業,TOPIX Mid400
9506,東北電力,東証1部,電気・ガス業,TOPIX Mid400
9507,四国電力,東証1部,電気・ガス業,TOPIX Mid400
9508,九州電力,東証1部,電気・ガス業,TOPIX Mid400
9509,北海道電力,東証1部,電気・ガス業,TOPIX Mid400
9511,沖縄電力,東証1部,電気・ガス業,TOPIX Small 1
9513,電源開発,東証1部,電気・ガス業,TOPIX Mid400
9514,エフオン,東証1部,電気・ガス業,TOPIX Small 2
9517,イーレックス,東証1部,電気・ガス業,TOPIX Small 1
9519,レノバ,東証1部,電気・ガス業,TOPIX Small 1
9522,リニューアブル・ジャパン,マザーズ,電気・ガス業,-
9531,東京瓦斯,東証1部,電気・ガス業,TOPIX Mid400
9532,大阪瓦斯,東証1部,電気・ガス業,TOPIX Mid400
9533,東邦瓦斯,東証1部,電気・ガス業,TOPIX Mid400
9534,北海道瓦斯,東証1部,電気・ガス業,TOPIX Small 2
9535,広島ガス,東証1部,電気・ガス業,TOPIX Small 2
9536,西部ガスホールディングス,東証1部,電気・ガス業,TOPIX Small 2
9537,北陸瓦斯,東証2部,電気・ガス業,-
9539,京葉瓦斯,東証2部,電気・ガス業,-
9543,静岡ガス,東証1部,電気・ガス業,TOPIX Small 2
9551,メタウォーター,東証1部,電気・ガス業,TOPIX Small 1
9600,アイネット,東証1部,情報・通信業,TOPIX Small 2
9601,松竹,東証1部,情報・通信業,TOPIX Mid400
9602,東宝,東証1部,情報・通信業,TOPIX Mid400
9603,エイチ・アイ・エス,東証1部,サービス業,TOPIX Small 1
9605,東映,東証1部,情報・通信業,TOPIX Small 1
9610,ウィルソン・ラーニング　ワールドワイド,JASDAQ,サービス業,-
9612,ラックランド,東証1部,サービス業,TOPIX Small 2
9613,エヌ・ティ・ティ・データ,東証1部,情報・通信業,TOPIX Mid400
9616,共立メンテナンス,東証1部,サービス業,TOPIX Small 1
9619,イチネンホールディングス,東証1部,サービス業,TOPIX Small 2
9621,建設技術研究所,東証1部,サービス業,TOPIX Small 2
9622,スペース,東証1部,サービス業,TOPIX Small 2
9625,セレスポ,JASDAQ,サービス業,-
9627,アインホールディングス,東証1部,小売業,TOPIX Mid400
9628,燦ホールディングス,東証1部,サービス業,TOPIX Small 2
9629,ピー・シー・エー,東証1部,情報・通信業,TOPIX Small 2
9631,東急レクリエーション,東証2部,サービス業,-
9632,スバル興業,東証1部,サービス業,TOPIX Small 2
9633,東京テアトル,東証1部,サービス業,TOPIX Small 2
9635,武蔵野興業,東証2部,サービス業,-
